반,성명,통학_권역,1학년_평균등급,3학년_평균등급,등급_변화,G1_미인정결과,G1_미인정결석,G1_미인정조퇴,G1_미인정지각,G1_질병결과,G1_질병결석,G1_질병조퇴,G1_질병지각,G2_미인정결과,G2_미인정결석,G2_미인정조퇴,G2_미인정지각,G2_질병결과,G2_질병결석,G2_질병조퇴,G2_질병지각,G3_미인정결과,G3_미인정결석,G3_미인정조퇴,G3_미인정지각,G3_질병결과,G3_질병결석,G3_질병조퇴,G3_질병지각
5,E,Zone A (농어촌/근거리),4.0,3.5,,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,5,2,0,0,8,7,0
5,F,Zone B (시내/중거리),3.0,3.5,,0,0,0,0,0,3,4,4,0,0,0,0,0,0,4,2,0,33,7,0,0,4,7,2
5,G,Zone A (농어촌/근거리),4.5,5.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,6,0,1,0,0
5,H,Zone A (농어촌/근거리),4.5,4.0,,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,3,2
5,I,Zone B (시내/중거리),4.5,4.5,,0,0,0,0,0,1,0,0,0,0,0,0,1,8,3,3,0,0,0,0,0,1,3,2
5,J,Zone A (농어촌/근거리),4.5,4.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,K,Zone A (농어촌/근거리),7.5,6.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,L,Zone B (시내/중거리),5.0,5.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,M,Zone B (시내/중거리),6.5,7.0,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,2,0,1,0,6,2,2
5,N,Zone A (농어촌/근거리),6.5,6.5,,2,0,0,1,0,0,1,2,5,0,1,3,0,0,2,2,0,1,0,1,0,2,1,5
6,O,Zone A (농어촌/근거리),5.5,5.5,,0,0,0,0,0,1,5,2,0,0,0,0,0,2,2,1,0,0,0,0,0,3,1,0
6,P,Zone A (농어촌/근거리),7.5,7.0,,0,0,0,0,0,4,4,0,0,0,0,0,0,10,3,0,0,0,0,0,0,11,4,0
6,Q,Zone B (시내/중거리),3.5,3.0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,0
6,R,Zone A (농어촌/근거리),6.5,7.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,S,Zone B (시내/중거리),5.0,4.5,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,8,0,0,0,13,1,0
6,T,Zone D (Outside Yongin),5.0,5.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,U,Zone A (농어촌/근거리),6.5,6.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,V,Zone B (시내/중거리),4.5,4.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,W,Zone B (시내/중거리),2.0,1.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,X,Zone A (농어촌/근거리),6.5,7.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Y,Zone B (시내/중거리),5.5,5.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Z,Zone B (시내/중거리),6.0,5.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,A,Zone A (농어촌/근거리),4.5,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,B,Zone A (농어촌/근거리),3.5,3.0,,0,0,0,0,0,3,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,1,0
6,C,Zone C (Yongin Other),4.0,4.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0
6,D,Zone A (농어촌/근거리),4.5,4.5,,0,0,0,2,0,1,1,3,0,0,0,0,0,1,2,2,0,2,0,0,0,5,0,0
6,E,Zone B (시내/중거리),4.5,5.0,,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,2,1
6,F,Zone B (시내/중거리),5.0,4.5,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,5,0,0
6,G,Zone A (농어촌/근거리),4.0,4.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,1,0,9,3,0,0,1,1,1
6,H,Zone A (농어촌/근거리),4.5,5.0,,4,5,4,0,0,0,1,5,1,17,5,2,0,7,10,2,3,21,2,0,0,8,4,4
6,I,Zone A (농어촌/근거리),4.5,4.5,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
6,J,Zone B (시내/중거리),3.5,4.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0
6,K,Zone A (농어촌/근거리),7.0,6.5,,0,0,0,5,0,5,2,4,0,2,0,13,0,20,4,10,0,5,14,2,0,13,0,1
